run_name,n_components,accuracy,macro_f1,explained_variance
pca_10,10,0.9512850019179133,0.9498990839046527,0.8954019960847239
pca_20,20,0.9735327963176065,0.9723091350019397,0.9794706830939509
pca_40,40,0.9842731108553894,0.9833898167827476,0.9981459988201016
pca_60,60,0.9877253548139624,0.9896438196957706,0.9996336457199402
pca_80,80,0.9877253548139624,0.9896438196957706,0.9999080700034327
pca_100,100,0.9873417721518988,0.9893557121837879,0.9999828991979544
