,precision,recall,f1-score,support
adelante,0.986784140969163,0.9838945827232797,0.9853372434017595,683.0
atras,0.9694323144104804,0.983751846381093,0.9765395894428153,677.0
girar,0.9773049645390071,0.9745403111739745,0.9759206798866855,707.0
pararse,1.0,0.9885496183206107,0.9942418426103646,262.0
sentarse,1.0,0.9892086330935251,0.9945750452079566,278.0
accuracy,0.982355197545071,0.982355197545071,0.982355197545071,0.982355197545071
macro avg,0.98670428398373,0.9839889983384966,0.9853228801099163,2607.0
weighted avg,0.982444900294174,0.982355197545071,0.9823788973179141,2607.0
