k,accuracy,macro_f1
20,0.9666283084004603,0.9730423479947522
40,0.9766014576141159,0.9807568926054622
60,0.9796701189106253,0.9833048444718123
80,0.9808208668968162,0.9841697976080264
100,0.98120444955888,0.9842151370411619
